Validation_Set,Topics,Alpha,Beta,Coherence_(c_v),Coherence_(u_mass)
75% Corpus,13,0.01,0.31,0.5769723765861935,0.5769723765861935
75% Corpus,13,0.01,0.61,0.5543131435671736,0.5543131435671736
75% Corpus,13,0.01,0.9099999999999999,0.5555435873242476,0.5555435873242476
75% Corpus,13,0.01,symmetric,0.6354868543794533,0.6354868543794533
75% Corpus,13,0.31,0.01,0.6841304706599224,0.6841304706599224
75% Corpus,13,0.31,0.31,0.673763622550437,0.673763622550437
75% Corpus,13,0.31,0.61,0.6701670919310533,0.6701670919310533
75% Corpus,13,0.31,0.9099999999999999,0.6632592647043247,0.6632592647043247
75% Corpus,13,0.31,symmetric,0.6861691417782079,0.6861691417782079
75% Corpus,13,0.61,0.01,0.685190322359883,0.685190322359883
75% Corpus,13,0.61,0.31,0.6493583669636949,0.6493583669636949
75% Corpus,13,0.61,0.61,0.46426100552674987,0.46426100552674987
75% Corpus,13,0.61,0.9099999999999999,0.6118805943112501,0.6118805943112501
75% Corpus,13,0.61,symmetric,0.6844257788363929,0.6844257788363929
75% Corpus,13,0.9099999999999999,0.01,0.7009151483598248,0.7009151483598248
75% Corpus,13,0.9099999999999999,0.31,0.5582629738550942,0.5582629738550942
75% Corpus,13,0.9099999999999999,0.61,0.696676701695731,0.696676701695731
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.7062445887896189,0.7062445887896189
75% Corpus,13,0.9099999999999999,symmetric,0.7006427365822032,0.7006427365822032
75% Corpus,13,symmetric,0.01,0.5607285992363453,0.5607285992363453
75% Corpus,13,symmetric,0.31,0.5383434858603339,0.5383434858603339
75% Corpus,13,symmetric,0.61,0.5353616639845329,0.5353616639845329
75% Corpus,13,symmetric,0.9099999999999999,0.5364355867394319,0.5364355867394319
75% Corpus,13,symmetric,symmetric,0.5440631503307812,0.5440631503307812
75% Corpus,13,asymmetric,0.01,0.4854822327573694,0.4854822327573694
75% Corpus,13,asymmetric,0.31,0.43892144562207963,0.43892144562207963
75% Corpus,13,asymmetric,0.61,0.4294773966720008,0.4294773966720008
75% Corpus,13,asymmetric,0.9099999999999999,0.42513759040531646,0.42513759040531646
75% Corpus,13,asymmetric,symmetric,0.4549264552832073,0.4549264552832073
75% Corpus,14,0.01,0.01,0.605253479624342,0.605253479624342
75% Corpus,14,0.01,0.31,0.5266091065239874,0.5266091065239874
75% Corpus,14,0.01,0.61,0.5130830732438241,0.5130830732438241
75% Corpus,14,0.01,0.9099999999999999,0.5005579729151305,0.5005579729151305
75% Corpus,14,0.01,symmetric,0.5642287784261057,0.5642287784261057
75% Corpus,14,0.31,0.01,0.6759830293001249,0.6759830293001249
75% Corpus,14,0.31,0.31,0.6628371920621196,0.6628371920621196
75% Corpus,14,0.31,0.61,0.6407851872617217,0.6407851872617217
75% Corpus,14,0.31,0.9099999999999999,0.6054452183805256,0.6054452183805256
75% Corpus,14,0.31,symmetric,0.6791767708837236,0.6791767708837236
75% Corpus,14,0.61,0.01,0.6807171829105111,0.6807171829105111
75% Corpus,14,0.61,0.31,0.6159023546845329,0.6159023546845329
75% Corpus,14,0.61,0.61,0.4371425464388385,0.4371425464388385
75% Corpus,14,0.61,0.9099999999999999,0.6997406914194569,0.6997406914194569
75% Corpus,14,0.61,symmetric,0.6811624147057441,0.6811624147057441
75% Corpus,14,0.9099999999999999,0.01,0.7013366978455838,0.7013366978455838
75% Corpus,14,0.9099999999999999,0.31,0.5311824842663023,0.5311824842663023
75% Corpus,14,0.9099999999999999,0.61,0.7041582414668941,0.7041582414668941
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.7062522863453525,0.7062522863453525
75% Corpus,14,0.9099999999999999,symmetric,0.6967822557249782,0.6967822557249782
75% Corpus,14,symmetric,0.01,0.5147636533878927,0.5147636533878927
75% Corpus,14,symmetric,0.31,0.5012575941533893,0.5012575941533893
75% Corpus,14,symmetric,0.61,0.5028116153638749,0.5028116153638749
75% Corpus,14,symmetric,0.9099999999999999,0.5094159662582499,0.5094159662582499
75% Corpus,14,symmetric,symmetric,0.5082699589494043,0.5082699589494043
75% Corpus,14,asymmetric,0.01,0.4386112919091416,0.4386112919091416
75% Corpus,14,asymmetric,0.31,0.3858660664519084,0.3858660664519084
75% Corpus,14,asymmetric,0.61,0.40461376880053523,0.40461376880053523
75% Corpus,14,asymmetric,0.9099999999999999,0.4019445844892415,0.4019445844892415
75% Corpus,14,asymmetric,symmetric,0.4097485141755722,0.4097485141755722
75% Corpus,15,0.01,0.01,0.6035104113444272,0.6035104113444272
75% Corpus,15,0.01,0.31,0.5272926830726182,0.5272926830726182
75% Corpus,15,0.01,0.61,0.4984876709703094,0.4984876709703094
75% Corpus,15,0.01,0.9099999999999999,0.500616160423036,0.500616160423036
75% Corpus,15,0.01,symmetric,0.5718547054476525,0.5718547054476525
75% Corpus,15,0.31,0.01,0.6708428246169801,0.6708428246169801
75% Corpus,15,0.31,0.31,0.6542268760461293,0.6542268760461293
75% Corpus,15,0.31,0.61,0.6200365681284425,0.6200365681284425
75% Corpus,15,0.31,0.9099999999999999,0.5968956477193161,0.5968956477193161
75% Corpus,15,0.31,symmetric,0.6716279150383689,0.6716279150383689
75% Corpus,15,0.61,0.01,0.6609648245815432,0.6609648245815432
